,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,ra,dec,spectral_type,visual_mag,simbad_distance_pc,abs_mag,spectral_class
15,793,279.33349416321056,1022.4497182426799,0.4860668493007164,-0.13368944414796438,0.3445420669253171,25,15814.0,156183.33333333334,-12.984086718738677,-5.3563038588425425,38.41883773956336,60.290897637907804,G8III,8.369999885559082,379.463,0.4741527061303543,G
16,383,630.779661899506,589.3742761698869,0.5717968829067634,0.024630518503324723,0.29485518434501273,25,18657.0,153878.0,-12.9679413325291,-5.550862058817226,37.4077285518895,60.657859722902046,,,739.59,,
17,392,648.3035667625077,600.9947956131987,0.5474863861619481,0.11536638439094937,0.1995514564384475,25,17964.333333333332,147361.66666666666,-12.920961311923655,-5.549111682815755,37.43185723152986,60.677963446066464,B5V,8.600000381469727,666.445,-0.5188211886141652,B
18,422,903.1631106509435,627.5256822428821,0.4972397664093683,0.079665209754739,0.40072963345399926,25,15919.333333333334,140059.33333333334,-12.865780137060067,-5.437969079343401,37.46088986303316,60.96180042294702,A3V,8.5,221.976,1.7684698942111172,A
19,1037,1006.6737132090223,1260.8980117283268,0.5423113265005651,0.06594596409983598,0.20357354601624847,25,16424.333333333332,138469.0,-12.853381389532434,-5.441467702102837,38.900834770506506,61.10638683408566,,,49.419,,
20,534,1092.5597885773866,748.2229505889053,0.485774400519506,0.1510306037499488,0.11518732003048718,25,14170.333333333334,138082.0,-12.85034267200463,-5.250163054019463,37.71492725761149,61.17849458787943,B0.5Iae,8.479999542236328,2378.687,-3.4016869531204392,B
21,1681,495.49850377823077,1888.2135927786878,0.49893474402742577,-0.20318328660846263,0.2396567482309062,25,13853.333333333334,133521.33333333334,-12.813876651306833,-5.216006065965435,40.35260214341541,60.55382334792515,A2II,8.539999961853027,201.159,2.0223026218878957,A
22,805,1390.1838435249535,1030.5640631737406,0.5067369091134111,-0.022890527155379474,0.31501691937016657,25,14124.333333333334,128713.33333333333,-12.77405884381807,-5.269784672291681,38.33674215114707,61.52233539715748,,18.816999435424805,,,
23,644,1478.0744405059895,884.975183907255,0.5194273983768641,0.013212635746639523,0.2357052443849585,25,10761.0,94729.33333333333,-12.441211202318359,-4.980259197427177,37.98891972227148,61.612815576728885,O6.5V((f))+O8/B0V,8.850000381469727,2596.054,-3.221568228004969,O
24,1325,965.9232269953284,1558.8250472278835,0.5238081238311012,0.03345095998540933,0.23142611115409278,25,10374.666666666666,90683.33333333334,-12.393818688805654,-4.938297014621965,39.5868860065056,61.069890587196845,B2III:,8.869999885559082,2042.067,-2.68035005014184,B
25,259,2035.0535475318723,411.68132892420647,0.5326955196121538,-0.009457364770303026,0.27206712078950546,25,10192.666666666666,85026.66666666666,-12.323887883988887,-4.93938091031046,36.80358989680518,62.20091666721623,B6V,9.050000190734863,,,B
26,1535,1363.367989278149,1759.457573847276,0.47804168066614233,-0.2195595533093488,0.2516791585835232,25,8493.333333333334,83673.0,-12.306463350995676,-4.695167573193166,40.03391925682004,61.51452628988521,K1III,8.9399995803833,565.611,0.17741034524348187,K
27,1073,1104.3761218260647,1292.4653867710008,0.48319352472590743,-0.2529308006381006,0.24025537174956368,25,8217.333333333334,80989.0,-12.271065091526538,-4.654626218881103,38.966413816639125,61.215787171030755,,14.6899995803833,405.844,6.648203931690805,
28,857,1435.8872893411415,1086.0000683939475,0.5161809657633107,0.03129496336925903,0.2381562779946681,25,8112.333333333334,72900.66666666667,-12.156828749750037,-4.66027052836553,38.46158327792011,61.575395856482224,F8,9.050000190734863,146.651,3.2185750470261567,F
29,179,973.041609079198,305.71333024039,0.4844264137173896,0.04733538603498807,0.27346970023077777,25,6552.0,64730.0,-12.027764017544825,-4.397593777177234,36.71634702180364,61.018043850750416,K2,9.270000457763672,563.412,0.5158699942638982,K
30,773,571.3116725914015,998.498057518895,0.49485084726884665,-0.09528090524723094,0.34918128056720177,25,6309.333333333333,61038.0,-11.964000737203481,-4.359320790400746,38.33892657136715,60.61339545648603,G8III,9.300000190734863,356.608,1.5390447820557984,G
31,396,673.1624295364381,608.5304635300452,0.4881777484524469,0.3183746096678903,0.3583377043151152,25,6124.0,57885.66666666667,-11.906427598515624,-4.352882389788561,37.4458713558309,60.70594331355747,A0V,9.390000343322754,696.136,0.176529876019476,A
32,284,2151.92959791074,460.4906620655442,0.4750791915684278,0.11256364723380417,0.34577001097900845,25,6187.0,57562.666666666664,-11.900352262492218,-4.398810094639355,36.902182600974115,62.333649585274316,F4V,9.4399995803833,301.159,2.046020348413439,F
33,404,1054.4930861272492,614.1563610992342,0.47960225554436,0.1319195280510641,0.15457639200517959,25,5782.666666666667,56611.66666666667,-11.882264852124113,-4.2805528013241485,37.41153889320574,61.128603129844265,A9V,9.4399995803833,193.177,3.010222493994748,A
34,133,586.7354930559835,233.34684902318253,0.5137031107453696,0.10448980546185699,0.23999316231912962,25,5599.666666666667,55874.00000000001,-11.868024408655653,-4.178170265444738,36.609966064926056,60.585279895805165,A9V,9.489999771118164,330.983,1.8909713308769227,A
35,322,1951.4056823198812,493.59962077175896,0.4952564978366351,-0.2725948631396437,0.1988489283135999,25,5973.666666666667,55821.0,-11.866994030873819,-4.33223105816292,37.010158174506415,62.11399638344264,B4-5V,14.229999542236328,2483.238,2.254907814916006,B
36,366,1410.8655642803321,563.3973035111715,0.48948281800707544,-0.09479209168490361,0.1934615075968516,25,5713.666666666667,55082.33333333334,-11.85253082262269,-4.262218323242774,37.24845216995503,61.5201276149687,K5,9.300000190734863,591.086,0.4417468251759331,K
37,677,2045.0586952762778,916.9444114814496,0.49097795067407146,0.041954299925527176,0.21435996346035455,25,6166.666666666667,55074.66666666667,-11.852379693278511,-4.408620234123269,38.00338513885089,62.242540979716445,K0III,9.479999542236328,421.39,1.3565784164448562,K
38,834,919.7725799153998,1067.9424744645582,0.5020926424522278,0.06735898807253449,0.21854462149457027,25,6063.333333333333,54973.333333333336,-11.850380178524148,-4.358344770840965,38.46564569735585,61.00259886555039,A0V,9.406999588012695,,,A
39,548,2095.015611579425,764.4018329413944,0.5162065519801279,0.12004158349886423,0.38590941861094114,25,5915.666666666667,53196.666666666664,-11.814711050022051,-4.317594247496995,37.63436563755936,62.28972894055517,B5II,9.550000190734863,2536.783,-2.471416402501795,B
40,1442,1542.426022489365,1670.071616769847,0.4925882764068741,-0.01945782811947621,0.11919898397953659,25,5735.0,51978.33333333333,-11.78955587472756,-4.315221362828694,39.81865295021676,61.71151716193328,B9V,9.46500015258789,664.275,0.3532606122403976,B
41,880,1265.3445708235863,1101.0337113118592,0.4902041881653307,0.01772842545918517,0.1859656742761936,25,5686.666666666667,51976.0,-11.78950713439328,-4.311025263855418,38.51157113473505,61.38700777391771,O7Vnz,9.390000343322754,2112.379,-2.233858863395742,O
42,1264,1664.4707085554735,1488.1505448630032,0.5107297209270101,-0.23603923777030872,0.14367049731651527,25,5540.333333333333,51832.333333333336,-11.786501899726733,-4.226549051482563,39.385912664214274,61.842663788212526,O9.5-B0IV-V,9.489999771118164,1766.472,-1.7455340184271613,O
43,316,1670.181794134138,484.02418148021144,0.4964469537960323,-0.023348149833072214,0.2199118057474235,25,5624.333333333333,50338.333333333336,-11.754747080666982,-4.298298659715354,37.02770292884626,61.80207448179229,A0V,9.5600004196167,324.254,2.0055737083694556,A
44,643,577.0434043666002,884.1684596169464,0.5165376173207894,0.09464865004977624,0.31308151259948847,25,5583.0,49675.666666666664,-11.740359260552358,-4.259363945559129,38.080052216229525,60.61440982804988,A2V,9.550000190734863,358.757,1.7759982722446246,A
45,1655,1020.5029866695467,1863.9741032148006,0.47726375495321405,-0.141953079910888,0.09015675504321394,25,5016.666666666667,49212.66666666667,-11.730192246523456,-4.128562861377546,40.28542927436331,61.13572973370928,O9.5IV,9.920000076293945,2357.379,-1.9421469758622685,O
46,412,900.1448985744954,618.6220090148058,0.4855449024381629,0.0395318647446934,0.28504155983726337,25,5115.0,49033.0,-11.726221164055051,-4.1510540361820745,37.44093635599796,60.95792778709631,G8III,9.479999542236328,468.252,1.1276013371776479,G
47,1203,1454.578475235703,1419.3077324243964,0.4878486497583096,-0.26875060658292454,0.12361045922472609,25,4955.666666666667,47186.00000000001,-11.684532908415829,-4.123622814656411,39.23720150896833,61.608042876469305,,9.529999732971191,681.153,0.363776364357836,
48,408,717.1458319201452,615.6848863783105,0.48707102269696806,0.082687930364755,0.2878125288472094,25,4732.0,45281.333333333336,-11.639798016010596,-4.064280087048354,37.456712946658634,60.755079639275834,G2IV,9.699999809265137,435.825,1.503439115112771,G
49,717,1350.2959487441467,949.4321208695212,0.4978193783848295,-0.13497791505812137,0.3211586087834497,25,4416.333333333333,42487.333333333336,-11.57064868492774,-3.973817774285058,38.15209540270998,61.47439359703119,,20.121000289916992,,,
50,1075,559.623379572846,1295.8012538638457,0.4982084018759535,0.11377554516794296,0.22069140802108744,25,4415.0,42095.33333333333,-11.56058488211186,-3.9792569166472673,39.01175787533457,60.61198276172447,OBe,9.803999900817871,2287.806,-1.9930960723796929,O
51,1092,1054.6302342832228,1308.1541279332525,0.5333810135311559,-0.12116540597487509,0.19800512728832642,25,4450.0,39754.666666666664,-11.498470290885209,-3.9910399624723336,39.006003243754186,61.16116264254376,A3V,9.6899995803833,250.777,2.693561066940976,A
52,251,964.4318450088821,399.5614841718371,0.45845761252376227,-0.11949182007638018,0.25680210625061095,25,3760.0,39560.666666666664,-11.493159004027657,-3.779875994531126,36.93207226428697,61.01509417222944,,9.789999961853027,704.225,0.551442769504785,
53,108,1006.2937535470527,188.62851927289407,0.48383150946987546,-0.1088344309624638,0.3147022898632273,25,3811.0,38719.333333333336,-11.46981967762478,-3.784854377839017,36.44360277818137,61.046146530015896,F5V,9.8100004196167,194.643,3.363806471203951,F
54,685,1244.3040566802792,922.4101911206126,0.49056545468852775,0.24097448152601236,0.238311796643326,25,4020.333333333333,38666.33333333333,-11.468332476432927,-3.881795621736539,38.100179315513174,61.35564385513372,G9,9.760000228881836,462.235,1.4356860950900572,G
55,354,882.5421970514078,548.2257679978595,0.49002455350205226,-0.11793822045339963,0.17572544608999635,25,3966.0,38489.333333333336,-11.463350972062145,-3.8655852746973056,37.282542258262254,60.934138443368916,A2II,9.850000381469727,284.164,2.582155094294672,A
56,1695,1547.3197507999344,1902.6323280867675,0.48875120935614497,-0.186923703392148,0.24287906118704658,25,4101.0,38455.0,-11.462382039227478,-3.929152158924932,40.362949571794175,61.72033952698491,B9V,9.739999771118164,844.096,0.10804055991336092,B
57,377,630.1354135262609,579.5377651097544,0.5150778508217717,0.12831884775392846,0.30608692431372236,25,3880.3333333333335,38057.99999999999,-11.45111490445277,-3.8111420383403645,37.38556712037973,60.65655229367374,B,9.880000114440918,681.942,0.711262919685657,B
58,934,2006.9002410512464,1148.8188336130934,0.5062388193388117,-0.00888171216022029,0.13403562598215518,25,4345.333333333333,37724.0,-11.441544340453856,-4.025265693601185,38.55879245545137,62.21080225932392,,9.9399995803833,1446.55,-0.8616676677766186,
59,1287,61.89538208141873,1521.861044471097,0.47473256059049046,0.0913989306819417,0.3533126095123264,25,3705.3333333333335,36981.66666666667,-11.419966199442001,-3.7825012164378506,39.54735248034865,60.06672681086287,B8III:,9.930000305175781,1119.194,-0.31452656100881704,B
60,1538,893.0556493995846,1760.6585628151954,0.4842516283736801,0.010241088994360844,0.26118243282805176,25,3894.6666666666665,36926.66666666667,-11.418350265227506,-3.870622893465675,40.05213801586142,60.99300597314494,F5,9.84000015258789,1243.626,-0.6334488128626603,F
61,292,1373.5189694381097,469.1925038837017,0.4783142637049738,-0.17293222906199376,0.13737655371073898,25,3540.3333333333335,35895.0,-11.387584894172797,-3.7174951448382396,37.034859476608254,61.472670522735434,,,,,
62,298,382.9952478997162,472.2266192810489,0.4985042912236421,0.1858199147586853,0.2300824547461815,25,3819.3333333333335,35647.666666666664,-11.380077770465844,-3.8470541300395107,37.17545808835533,60.376223224477265,B9Vp,9.989999771118164,563.031,1.2373382341767254,B
63,1244,533.0482083274778,1454.5080277296863,0.5247299292924767,0.04797763706502497,0.41049846797053535,25,3915.6666666666665,35142.0,-11.364566186029009,-3.856661222831152,39.37199234716957,60.58730020693844,F5,9.979999542236328,177.129,3.738551188321125,F
64,539,947.219964138579,750.0096245484441,0.4924471192290753,0.10262997040405235,0.20862487007941297,25,3802.0,35138.666666666664,-11.364463195523742,-3.8544895542090103,37.73559099775186,61.01758565163737,,,,,
65,1390,331.79400403297063,1614.2770698762172,0.5049774763277751,-0.018692693099024073,0.3139234110788838,25,3613.6666666666665,34635.666666666664,-11.34880887836351,-3.7466784160749302,39.741470197429365,60.36800668807369,G2V,10.020000457763672,122.995,4.570563173597019,G
66,1573,859.5106728499344,1795.9870421628352,0.4745336507580979,-0.06291720836065118,0.11511882223713157,25,3516.3333333333335,34625.333333333336,-11.348484907465053,-3.743311894693893,40.133947108342596,60.9563300366844,,9.890000343322754,270.153,2.7319513700060636,
67,957,1704.8402926209883,1171.1764635191796,0.5031579753964207,-0.06654911739471385,0.2550622001711303,25,3831.6666666666665,34285.0,-11.337760384503483,-3.872282748612605,38.63763978582805,61.87695985092712,F2:,9.899999618530273,198.7,3.409010282981198,F
