"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.141441667E0,-1.691253662E0,-8.158880615E1,-2.223205566E-2,8.160633629E1
1.151429667E0,-1.716781616E0,-8.163348389E1,-2.923583984E-2,8.165153939E1
1.161417667E0,-1.722702026E0,-8.185769653E1,-2.499694824E-1,8.187620331E1
1.171406667E0,-1.851364136E0,-8.177005005E1,-1.450653076E-1,8.179113447E1
1.181394667E0,-1.711074829E0,-8.186849976E1,-2.624511719E-3,8.188637882E1
1.191382667E0,-1.617324829E0,-8.151702881E1,-1.158599854E-1,8.153315368E1
1.201371667E0,-1.695785522E0,-8.163821411E1,-1.838378906E-1,8.165603155E1
1.211359667E0,-1.695785522E0,-8.163821411E1,-1.838378906E-1,8.165603155E1
1.221347667E0,-1.723373413E0,-8.178317261E1,-1.023712158E-1,8.180139252E1
1.231336667E0,-1.713653564E0,-8.196566772E1,-4.643249512E-2,8.198359257E1
1.241324667E0,-1.657409668E0,-8.164538574E1,1.508178711E-1,8.166234607E1
1.251313667E0,-1.667434692E0,-8.177612305E1,1.155395508E-1,8.179320258E1
1.261301667E0,-1.703430176E0,-8.192666626E1,1.222381592E-1,8.194446449E1
1.271289667E0,-1.664794922E0,-8.181448364E1,8.148193359E-2,8.183146042E1
1.281278708E0,-1.731689453E0,-8.201940918E1,1.886596680E-1,8.203790479E1
1.291266708E0,-1.628646851E0,-8.171972656E1,3.694000244E-1,8.173678888E1
1.301254708E0,-1.471145630E0,-8.175601196E1,1.972351074E-1,8.176948491E1
1.311243708E0,-1.671783447E0,-8.203936768E1,3.903656006E-1,8.205732809E1
1.321231708E0,-1.412109375E0,-8.178634644E1,5.052642822E-1,8.180009663E1
1.331219708E0,-1.565460205E0,-8.194515991E1,4.099731445E-1,8.196113699E1
1.341208708E0,-1.559799194E0,-8.171368408E1,7.797088623E-1,8.173228913E1
1.351196708E0,-1.399414062E0,-8.170849609E1,7.291412354E-1,8.172373181E1
1.361184708E0,-1.440170288E0,-8.201010132E1,6.341857910E-1,8.202519735E1
1.371173708E0,-1.430679321E0,-8.189877319E1,6.278228760E-1,8.191367441E1
1.381161708E0,-1.708190918E0,-8.204638672E1,5.550384521E-1,8.206604388E1
1.391149708E0,-1.421051025E0,-8.181185913E1,7.668151855E-1,8.182779287E1
1.401138708E0,-1.444274902E0,-8.188101196E1,7.198028564E-1,8.189691182E1
1.411126708E0,-1.592376709E0,-8.210140991E1,5.983886719E-1,8.211903094E1
1.421115708E0,-1.537353516E0,-8.185086060E1,6.006011963E-1,8.186750001E1
1.431103708E0,-1.583511353E0,-8.203796387E1,6.415100098E-1,8.205575275E1
1.441091708E0,-1.488937378E0,-8.186541748E1,8.525543213E-1,8.188339491E1
1.451080708E0,-1.414062500E0,-8.198266602E1,7.718200684E-1,8.199849271E1
1.461068708E0,-1.415039062E0,-8.215411377E1,9.604339600E-1,8.217191234E1
1.471056708E0,-1.435302734E0,-8.195593262E1,8.240966797E-1,8.197264251E1
1.481045708E0,-1.522399902E0,-8.212741089E1,6.905212402E-1,8.214442245E1
1.491033708E0,-1.371871948E0,-8.190362549E1,9.074096680E-1,8.192013973E1
1.501021708E0,-1.566284180E0,-8.193817139E1,8.773498535E-1,8.195783623E1
1.511010708E0,-1.750640869E0,-8.219396973E1,8.869018555E-1,8.221739474E1
1.520998708E0,-1.554153442E0,-8.201632690E1,1.020858765E0,8.203740259E1
1.530986708E0,-1.613265991E0,-8.232418823E1,8.927917480E-1,8.234483391E1
1.540975708E0,-1.450759888E0,-8.203225708E1,1.257369995E0,8.205471885E1
1.550963708E0,-1.469497681E0,-8.222967529E1,1.195297241E0,8.225149031E1
1.560951708E0,-1.639373779E0,-8.238854980E1,1.234420776E0,8.241410365E1
1.570940708E0,-1.587631226E0,-8.213629150E1,1.105606079E0,8.215907326E1
1.580928708E0,-1.646865845E0,-8.231542969E1,1.195480347E0,8.234058116E1
1.590917708E0,-1.528671265E0,-8.204598999E1,1.219390869E0,8.206928916E1
1.600905708E0,-1.547943115E0,-8.212042236E1,1.127288818E0,8.214274574E1
1.610893708E0,-1.513580322E0,-8.228961182E1,1.234268188E0,8.231278489E1
1.620882708E0,-1.576309204E0,-8.223361206E1,1.269226074E0,8.225851104E1
1.630870708E0,-1.570877075E0,-8.243969727E1,1.292648315E0,8.246479418E1
1.640858708E0,-1.431488037E0,-8.209020996E1,1.521713257E0,8.211679086E1
1.650847708E0,-1.393630981E0,-8.216366577E1,1.449661255E0,8.218826983E1
1.660835708E0,-1.333587646E0,-8.227432251E1,1.667907715E0,8.230203228E1
1.670823708E0,-1.406829834E0,-8.206570435E1,1.493972778E0,8.209135737E1
1.680812708E0,-1.493377686E0,-8.239013672E1,1.496582031E0,8.241725889E1
1.690800708E0,-1.251205444E0,-8.206829834E1,1.835525513E0,8.209835724E1
1.700788708E0,-1.446533203E0,-8.219415283E1,1.679473877E0,8.222403451E1
1.710777708E0,-1.543029785E0,-8.242242432E1,1.636611938E0,8.245311073E1
1.720765708E0,-1.409622192E0,-8.228616333E1,1.713577271E0,8.231607411E1
1.730753708E0,-1.512619019E0,-8.249069214E1,1.805099487E0,8.252430363E1
1.740742708E0,-1.355453491E0,-8.218408203E1,1.851196289E0,8.221610257E1
1.750730708E0,-1.398742676E0,-8.241574097E1,1.775634766E0,8.244673262E1
1.760719708E0,-1.495025635E0,-8.257730103E1,1.844726562E0,8.261143240E1
1.770707708E0,-1.221343994E0,-8.244067383E1,1.812713623E0,8.246964480E1
1.780695708E0,-1.332977295E0,-8.264810181E1,1.887603760E0,8.268040039E1
1.790684708E0,-1.272048950E0,-8.227487183E1,2.073089600E0,8.231081547E1
1.800672708E0,-1.236831665E0,-8.252368164E1,1.888244629E0,8.255454713E1
1.810660708E0,-1.386123657E0,-8.274621582E1,2.133331299E0,8.278531678E1
1.820649708E0,-1.309204102E0,-8.252264404E1,2.012161255E0,8.255755319E1
1.830637708E0,-1.393722534E0,-8.264431763E1,2.058090210E0,8.268168742E1
1.840625708E0,-1.232055664E0,-8.236444092E1,2.111495972E0,8.240071301E1
1.850614708E0,-1.156051636E0,-8.252969360E1,2.096389771E0,8.256440899E1
1.860602708E0,-1.199340820E0,-8.279388428E1,2.286239624E0,8.283412693E1
1.870590708E0,-1.080535889E0,-8.253857422E1,2.448837280E0,8.258196290E1
1.880579708E0,-1.142120361E0,-8.273187256E1,2.504394531E0,8.277764896E1
1.890567708E0,-1.071380615E0,-8.239047241E1,2.541046143E0,8.243661029E1
1.900556708E0,-1.076965332E0,-8.246130371E1,2.645935059E0,8.251077164E1
1.910544708E0,-1.269927979E0,-8.276571655E1,2.385894775E0,8.280983666E1
1.920532708E0,-1.187927246E0,-8.260833740E1,2.595718384E0,8.265764534E1
1.930521708E0,-1.330764771E0,-8.277725220E1,2.519943237E0,8.282629130E1
1.940509708E0,-1.313415527E0,-8.260256958E1,2.813400269E0,8.266090238E1
1.950497708E0,-1.279449463E0,-8.272482300E1,2.659042358E0,8.277743556E1
1.960486708E0,-1.305709839E0,-8.289895630E1,2.708999634E0,8.295348403E1
1.970474708E0,-1.257385254E0,-8.270199585E1,2.573410034E0,8.275157747E1
1.980462708E0,-1.424255371E0,-8.293927002E1,2.495651245E0,8.298903114E1
1.990451708E0,-1.259246826E0,-8.269412231E1,2.766006470E0,8.274995081E1
2.000439708E0,-1.240524292E0,-8.280996704E1,2.643371582E0,8.286143225E1
2.010427708E0,-1.334121704E0,-8.302194214E1,2.534698486E0,8.307133954E1
2.020416708E0,-1.212020874E0,-8.287463379E1,2.717971802E0,8.292804888E1
2.030404708E0,-1.205932617E0,-8.299313354E1,2.727523804E0,8.304669696E1
2.040392708E0,-1.215194702E0,-8.268145752E1,2.841384888E0,8.273919013E1
2.050381708E0,-1.243560791E0,-8.290219116E1,2.728683472E0,8.295640696E1
2.060369708E0,-1.383911133E0,-8.318307495E1,2.781250000E0,8.324106270E1
2.070358708E0,-1.273849487E0,-8.299273682E1,2.942703247E0,8.305466007E1
2.080346708E0,-1.299255371E0,-8.315432739E1,3.084381104E0,8.322165365E1
2.090334708E0,-1.231567383E0,-8.284490967E1,3.112670898E0,8.291251134E1
2.100323708E0,-1.327362061E0,-8.315960693E1,3.046005249E0,8.322595907E1
2.110311708E0,-1.333297729E0,-8.324935913E1,3.002960205E0,8.331417195E1
2.120299708E0,-1.291412354E0,-8.313226318E1,3.335876465E0,8.320918819E1
2.130288708E0,-1.398361206E0,-8.329342651E1,3.433135986E0,8.337587623E1
2.140276708E0,-1.387634277E0,-8.294827271E1,3.277679443E0,8.302460272E1
2.150264708E0,-1.310913086E0,-8.321502686E1,3.332336426E0,8.329203836E1
2.160253708E0,-1.330093384E0,-8.341998291E1,3.224121094E0,8.349285990E1
2.170241708E0,-1.402801514E0,-8.316641235E1,3.377456665E0,8.324678498E1
2.180229708E0,-1.341964722E0,-8.333502197E1,3.457962036E0,8.341752968E1
2.190218708E0,-1.212524414E0,-8.299487305E1,3.591842651E0,8.308140888E1
2.200206708E0,-1.234786987E0,-8.324035645E1,3.610809326E0,8.332778399E1
2.210194708E0,-1.306533813E0,-8.340750122E1,3.864471436E0,8.350719987E1
2.220183708E0,-1.292404175E0,-8.321743774E1,3.984115601E0,8.332277858E1
2.230171708E0,-1.290679932E0,-8.339782715E1,3.785324097E0,8.349366507E1
2.240160708E0,-1.155120850E0,-8.307315063E1,4.071777344E0,8.318089944E1
2.250148708E0,-1.295272827E0,-8.329318237E1,3.822769165E0,8.339091992E1
2.260136708E0,-1.455688477E0,-8.356649780E1,4.119308472E0,8.368062671E1
2.270125708E0,-1.203491211E0,-8.335720825E1,4.015029907E0,8.346252467E1
2.280113042E0,-1.342987061E0,-8.357177734E1,3.865310669E0,8.367189617E1
2.290101042E0,-1.340881348E0,-8.321795654E1,3.915664673E0,8.332081783E1
2.300090042E0,-1.380859375E0,-8.345962524E1,3.907546997E0,8.356246012E1
2.310078042E0,-1.434570312E0,-8.374987793E1,4.162780762E0,8.386553994E1
2.320066042E0,-1.372604370E0,-8.337396240E1,4.331146240E0,8.349766750E1
2.330055042E0,-1.168304443E0,-8.351260376E1,4.304809570E0,8.363164059E1
2.340043042E0,-1.213455200E0,-8.327255249E1,4.378524780E0,8.339641450E1
2.350031042E0,-1.295593262E0,-8.357894897E1,4.430786133E0,8.370633870E1
2.360020042E0,-1.428833008E0,-8.374957275E1,4.373443604E0,8.387585773E1
2.370008042E0,-1.254226685E0,-8.357464600E1,4.350128174E0,8.369718127E1
2.379996042E0,-1.320800781E0,-8.359899902E1,4.325698853E0,8.372125670E1
2.389985042E0,-1.162063599E0,-8.337796021E1,4.505294800E0,8.350767822E1
2.399973042E0,-1.201004028E0,-8.351678467E1,4.326736450E0,8.363741017E1
2.409962042E0,-1.283767700E0,-8.383914185E1,4.627456665E0,8.397656292E1
2.419950042E0,-1.305480957E0,-8.375982666E1,4.621795654E0,8.389740066E1
2.429938042E0,-1.328735352E0,-8.393884277E1,4.588531494E0,8.407466613E1
2.439927042E0,-1.227111816E0,-8.362905884E1,4.715927124E0,8.377090935E1
2.449915042E0,-1.364089966E0,-8.382528687E1,4.872619629E0,8.397786543E1
2.459903042E0,-1.431320190E0,-8.404342651E1,4.740890503E0,8.418920513E1
2.469892042E0,-1.396514893E0,-8.379901123E1,4.812683105E0,8.394871325E1
2.479880042E0,-1.439163208E0,-8.400143433E1,4.737533569E0,8.414723040E1
2.489868042E0,-1.345993042E0,-8.369332886E1,5.031890869E0,8.385526172E1
2.499857042E0,-1.227615356E0,-8.396453857E1,4.935638428E0,8.411843617E1
2.509845042E0,-1.330322266E0,-8.393392944E1,4.926025391E0,8.408888152E1
2.519833042E0,-1.113998413E0,-8.381643677E1,4.981292725E0,8.397171751E1
2.529822042E0,-1.255126953E0,-8.383810425E1,4.978240967E0,8.399515433E1
2.539810042E0,-1.032913208E0,-8.356399536E1,5.089752197E0,8.372522803E1
2.549798042E0,-9.880676270E-1,-8.385165405E1,5.086685181E0,8.401160950E1
2.559787042E0,-1.180084229E0,-8.415884399E1,5.177856445E0,8.432623446E1
2.569775042E0,-1.104019165E0,-8.385809326E1,5.166488647E0,8.402434926E1
2.579764042E0,-1.190841675E0,-8.401889038E1,5.103332520E0,8.418215991E1
2.589752042E0,-1.120361328E0,-8.385885620E1,5.256408691E0,8.403090387E1
2.599740042E0,-1.169403076E0,-8.399160767E1,5.354003906E0,8.417020268E1
2.609729042E0,-1.180130005E0,-8.409680176E1,5.307266235E0,8.427236705E1
2.619717042E0,-1.198684692E0,-8.388595581E1,5.642639160E0,8.408406391E1
2.629705042E0,-1.277862549E0,-8.404791260E1,5.502441406E0,8.423752968E1
2.639694042E0,-1.227127075E0,-8.378591919E1,5.627502441E0,8.398365840E1
2.649682042E0,-1.218704224E0,-8.401269531E1,5.439285278E0,8.419741111E1
2.659670042E0,-1.223861694E0,-8.427923584E1,5.780029297E0,8.448607086E1
2.669659042E0,-1.173095703E0,-8.401977539E1,5.757125854E0,8.422495656E1
2.679647042E0,-1.249786377E0,-8.411056519E1,5.798919678E0,8.431949129E1
2.689635042E0,-1.053588867E0,-8.388662720E1,6.128433228E0,8.411678766E1
2.699624042E0,-1.034835815E0,-8.401147461E1,5.897750854E0,8.422459389E1
2.709612042E0,-1.207244873E0,-8.426309204E1,5.834823608E0,8.447349458E1
2.719600042E0,-1.061065674E0,-8.412689209E1,6.030380249E0,8.434942394E1
2.729589042E0,-1.015808105E0,-8.426803589E1,5.886947632E0,8.447952350E1
2.739577042E0,-9.730072021E-1,-8.391824341E1,6.137405396E0,8.414800095E1
2.749565042E0,-1.011688232E0,-8.421017456E1,5.996612549E0,8.442947575E1
2.759554042E0,-1.096130371E0,-8.442028809E1,6.163513184E0,8.465208466E1
2.769542042E0,-1.003585815E0,-8.418743896E1,5.919219971E0,8.440123950E1
2.779531042E0,-1.017333984E0,-8.447659302E1,5.793914795E0,8.468116192E1
2.789519042E0,-9.351959229E-1,-8.406378174E1,6.158203125E0,8.429423146E1
2.799507042E0,-1.034500122E0,-8.423171997E1,6.190689087E0,8.446524416E1
2.809496042E0,-1.012771606E0,-8.457391357E1,6.321731567E0,8.481589977E1
2.819484042E0,-8.260498047E-1,-8.422952271E1,6.430450439E0,8.447866918E1
2.829472042E0,-8.838348389E-1,-8.437042236E1,6.336853027E0,8.461267659E1
2.839461042E0,-7.238006592E-1,-8.410476685E1,6.655838013E0,8.437082359E1
2.849449042E0,-8.975219727E-1,-8.452877808E1,6.345458984E0,8.477136733E1
2.859437042E0,-8.788757324E-1,-8.461026001E1,6.436416626E0,8.485927162E1
2.869426042E0,-7.698211670E-1,-8.434564209E1,6.616165161E0,8.460823604E1
2.879414042E0,-8.482818604E-1,-8.452072144E1,6.493545532E0,8.477404124E1
2.889402042E0,-8.159942627E-1,-8.427923584E1,6.814559937E0,8.455822649E1
2.899391042E0,-8.355712891E-1,-8.450198364E1,6.630752563E0,8.476585573E1
2.909379042E0,-9.349365234E-1,-8.468020630E1,6.564727783E0,8.493943193E1
2.919367042E0,-9.010162354E-1,-8.453540039E1,6.664489746E0,8.480248330E1
2.929356042E0,-9.476318359E-1,-8.464746094E1,6.843551636E0,8.492893999E1
2.939344042E0,-9.128570557E-1,-8.440451050E1,6.859741211E0,8.468772491E1
2.949333042E0,-1.075271606E0,-8.458547974E1,6.750167847E0,8.486120643E1
2.959321042E0,-8.757324219E-1,-8.470541382E1,6.943450928E0,8.499403243E1
2.969309042E0,-9.013519287E-1,-8.455355835E1,7.028839111E0,8.484999260E1
2.979298042E0,-9.173278809E-1,-8.470025635E1,7.040100098E0,8.499728187E1
2.989286042E0,-8.474273682E-1,-8.443014526E1,7.235351562E0,8.474383679E1
2.999274042E0,-8.547515869E-1,-8.467678833E1,7.010253906E0,8.497077581E1
3.009263042E0,-8.648529053E-1,-8.483779907E1,7.452346802E0,8.516887691E1
3.019251042E0,-9.212188721E-1,-8.465570068E1,7.303329468E0,8.497514298E1
3.029239042E0,-9.415435791E-1,-8.482241821E1,7.289230347E0,8.514024909E1
3.039228042E0,-6.769866943E-1,-8.458795166E1,7.579986572E0,8.492959480E1
3.049216042E0,-7.292785645E-1,-8.483422852E1,7.594421387E0,8.517660131E1
3.059204042E0,-7.292785645E-1,-8.483422852E1,7.594421387E0,8.517660131E1
3.069193042E0,-9.060211182E-1,-8.507574463E1,7.672042847E0,8.542577737E1
3.079181042E0,-9.340057373E-1,-8.483520508E1,7.691131592E0,8.518824973E1
3.089169042E0,-1.013442993E0,-8.500051880E1,7.573242188E0,8.534324379E1
3.099158042E0,-8.782653809E-1,-8.463656616E1,7.830703735E0,8.500258586E1
3.109146042E0,-8.887176514E-1,-8.484518433E1,7.878280640E0,8.521480170E1
3.119135042E0,-8.792114258E-1,-8.505001831E1,7.931686401E0,8.542359321E1
