"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1.004355250E0	5.752928555E-3	-4.650741816E-3	4.303646088E-2	4.366763734E-2
1.014302250E0	6.943893619E-3	-5.011067726E-3	3.096355125E-2	3.212584574E-2
1.024249250E0	6.397391204E-3	-7.095949724E-3	2.744809352E-2	2.906332662E-2
1.034196250E0	3.631432075E-3	-4.620541818E-3	2.591331489E-2	2.657134913E-2
1.044143250E0	-2.053045435E-3	-5.227672867E-3	1.624078304E-2	1.718448698E-2
1.054090250E0	-5.972952116E-3	-1.753312536E-3	3.730583470E-3	7.257238790E-3
1.064036250E0	-5.950422026E-3	1.781444065E-3	4.434600472E-3	7.631955621E-3
1.073983250E0	-5.300877150E-3	6.769278552E-3	4.358636215E-4	8.608856357E-3
1.083930250E0	-3.371612635E-3	3.956150729E-3	-8.745758794E-3	1.017384869E-2
1.093877250E0	-4.586280324E-3	6.509589497E-3	-1.252345275E-2	1.484067355E-2
1.103824250E0	-2.398707205E-3	7.464862429E-3	-1.351526566E-2	1.562499194E-2
1.113771250E0	-1.813078066E-3	3.380639013E-3	-2.017902955E-2	2.054042857E-2
1.123718250E0	-3.385501914E-4	9.673380991E-4	-2.183763683E-2	2.186167289E-2
1.133665250E0	-3.265659325E-4	-7.844893262E-4	-2.173111029E-2	2.174771766E-2
1.143612250E0	-1.885788515E-3	3.278937656E-4	-2.586428262E-2	2.593501163E-2
1.153559250E0	1.097181812E-4	-3.942484967E-3	-2.666349895E-2	2.695361575E-2
1.163506250E0	9.973496199E-4	-2.189858584E-3	-2.565922029E-2	2.577180190E-2
1.173452250E0	-1.774202101E-3	1.906615682E-3	-2.316250652E-2	2.330846809E-2
1.183399250E0	-4.857456312E-3	2.275443170E-3	-2.150848135E-2	2.216725724E-2
1.193346250E0	-4.348260351E-3	3.495969810E-3	-2.412610129E-2	2.476283377E-2
1.203293250E0	-3.599290736E-3	4.292934202E-3	-2.599070594E-2	2.658760939E-2
1.213240250E0	-2.532162238E-3	7.004031911E-3	-2.318799496E-2	2.435470014E-2
1.223187250E0	3.408063203E-4	4.505684134E-3	-2.503330819E-2	2.543784302E-2
1.233134250E0	-2.922271378E-4	5.032457411E-3	-2.080021426E-2	2.140233486E-2
1.243081250E0	1.233788207E-3	6.420924328E-3	-2.494427375E-2	2.578695980E-2
1.253028250E0	-3.305529244E-4	2.886110451E-3	-2.324357815E-2	2.342440659E-2
1.262975250E0	4.234108608E-3	2.038408304E-3	-2.477878705E-2	2.522044947E-2
1.272922250E0	-2.793440362E-3	4.816884175E-3	-2.241150290E-2	2.309288082E-2
1.282868250E0	7.300940342E-4	6.516896654E-3	-2.489371225E-2	2.574295805E-2
1.292815250E0	-8.654058911E-4	2.062759595E-3	-2.904158644E-2	2.912760971E-2
1.302762250E0	-4.214118235E-4	1.155514619E-3	-2.896758169E-2	2.899368191E-2
1.312709250E0	9.855362587E-4	3.861273872E-4	-2.818115056E-2	2.820102166E-2
1.322656250E0	9.051687084E-4	1.441807253E-3	-2.495184913E-2	2.500985633E-2
1.332603250E0	7.949136198E-4	2.097743796E-3	-2.685094997E-2	2.694449723E-2
1.342550250E0	6.691818126E-4	-4.217315000E-4	-2.845499665E-2	2.846598840E-2
1.352497250E0	1.199150924E-3	1.048067003E-3	-2.344639041E-2	2.350041766E-2
1.362444250E0	-2.614812925E-3	8.575934917E-4	-2.191764489E-2	2.208972319E-2
1.372391250E0	-2.162341727E-3	2.021128545E-3	-2.582823113E-2	2.599727304E-2
