"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
2.238206792E0;-1.413555592E-1;-3.490251303E0;-2.013672829E0;4.031961534E0
2.248194792E0;-1.325001866E-1;-3.483781338E0;-2.002017975E0;4.020244356E0
2.258181792E0;-9.541647136E-2;-3.435136080E0;-1.979645252E0;3.965886977E0
2.268168792E0;-3.643811867E-2;-3.363378763E0;-1.951619387E0;3.888761072E0
2.278155792E0;1.389376260E-2;-3.283822536E0;-1.920119286E0;3.804016503E0
2.288142792E0;4.386001453E-2;-3.206809759E0;-1.887013197E0;3.721071262E0
2.298129792E0;5.057996884E-2;-3.150944948E0;-1.872000456E0;3.665432868E0
2.308116792E0;4.928049818E-2;-3.131804228E0;-1.858847857E0;3.642244039E0
2.318103792E0;5.936535448E-2;-3.143500805E0;-1.847230911E0;3.646557773E0
2.328090792E0;7.927636802E-2;-3.191257954E0;-1.846615911E0;3.687872339E0
2.338077792E0;1.101780981E-1;-3.255481482E0;-1.852467060E0;3.747256743E0
2.348065792E0;1.459228843E-1;-3.296908855E0;-1.855937958E0;3.786212777E0
2.358052792E0;1.818784922E-1;-3.314354658E0;-1.849325061E0;3.799740750E0
2.368039792E0;2.125547826E-1;-3.296381474E0;-1.838062286E0;3.780182975E0
2.378026792E0;2.344600856E-1;-3.232720375E0;-1.826845646E0;3.720593712E0
2.388013792E0;2.551383376E-1;-3.136944294E0;-1.817121744E0;3.634205072E0
2.398000792E0;2.818455696E-1;-3.040215731E0;-1.806798816E0;3.547797990E0
2.407987792E0;2.999874651E-1;-2.971630335E0;-1.801600575E0;3.488028664E0
2.417974792E0;3.014756441E-1;-2.942862749E0;-1.796938777E0;3.461259553E0
2.427961792E0;2.901934683E-1;-2.941661119E0;-1.797325492E0;3.459474138E0
2.437948792E0;2.795320451E-1;-2.960716248E0;-1.813273549E0;3.483093428E0
2.447936792E0;2.692750990E-1;-2.992265701E0;-1.838893652E0;3.522455531E0
2.457923792E0;2.680955827E-1;-3.024672031E0;-1.868831873E0;3.565536244E0
2.467910792E0;2.713413537E-1;-3.057658434E0;-1.895283937E0;3.607631139E0
2.477897792E0;2.792416215E-1;-3.076050520E0;-1.903946400E0;3.628370788E0
2.487884792E0;2.853497565E-1;-3.072313786E0;-1.904397964E0;3.625916172E0
2.497871792E0;2.829888463E-1;-3.050458193E0;-1.904839277E0;3.607463173E0
2.507858792E0;2.809484601E-1;-3.009109497E0;-1.903715968E0;3.571807174E0
2.517845792E0;2.836174965E-1;-2.964787483E0;-1.897119045E0;3.531212876E0
2.527832792E0;2.825991213E-1;-2.922503710E0;-1.876991630E0;3.484822488E0
2.537819792E0;2.687858343E-1;-2.866615772E0;-1.852616310E0;3.423728816E0
2.547807792E0;2.481759787E-1;-2.806752205E0;-1.826678276E0;3.358005774E0
2.557794792E0;2.220109701E-1;-2.759484291E0;-1.799319386E0;3.301755999E0
2.567781792E0;2.056267858E-1;-2.730859756E0;-1.759881616E0;3.255312686E0
2.577768792E0;1.916534454E-1;-2.725638151E0;-1.716886163E0;3.227000538E0
2.587755792E0;1.718762815E-1;-2.742932796E0;-1.667885184E0;3.214819244E0
2.597742792E0;1.533766389E-1;-2.776379585E0;-1.627038360E0;3.221655137E0
2.607729792E0;1.434667408E-1;-2.813377619E0;-1.591302633E0;3.235416573E0
2.617716792E0;1.423340887E-1;-2.830478668E0;-1.565916896E0;3.237895027E0
2.627703792E0;1.519003212E-1;-2.834238529E0;-1.554126263E0;3.235937297E0
2.637690708E0;1.639620513E-1;-2.835664749E0;-1.546937346E0;3.234330422E0
2.647677708E0;1.699375808E-1;-2.832010031E0;-1.543394089E0;3.229740688E0
2.657665708E0;1.565197855E-1;-2.835711002E0;-1.541584969E0;3.231445427E0
2.667652708E0;1.244612411E-1;-2.835816622E0;-1.538570881E0;3.228706687E0
2.677639708E0;9.075014293E-2;-2.837976694E0;-1.538903832E0;3.229639656E0
2.687626708E0;7.211410999E-2;-2.836532354E0;-1.539416671E0;3.228144967E0
2.697613708E0;6.598777324E-2;-2.827605963E0;-1.537784457E0;3.219392940E0
2.707600708E0;7.593047619E-2;-2.828625441E0;-1.541175008E0;3.222127826E0
2.717587708E0;8.838075399E-2;-2.843674660E0;-1.541934490E0;3.236025139E0
2.727574708E0;1.026882604E-1;-2.852238178E0;-1.545485497E0;3.245663711E0
2.737561708E0;1.046102643E-1;-2.873275518E0;-1.557516575E0;3.269940885E0
2.747548708E0;9.716796130E-2;-2.894596815E0;-1.569788098E0;3.294293097E0
2.757536708E0;8.749882132E-2;-2.917958498E0;-1.591448307E0;3.324882788E0
2.767523708E0;7.573097199E-2;-2.934825420E0;-1.620461583E0;3.353331354E0
2.777510708E0;5.498575047E-2;-2.948315620E0;-1.648462057E0;3.378315495E0
2.787497708E0;3.346330300E-2;-2.949919939E0;-1.654376149E0;3.382322853E0
2.797484708E0;-5.393816624E-3;-2.928182125E0;-1.651475787E0;3.361792963E0
2.807471708E0;-6.357471645E-2;-2.891976118E0;-1.571175218E0;3.291832191E0
2.817458708E0;-1.135159060E-1;-2.847784519E0;-1.279132366E0;3.123930559E0
2.827445708E0;-1.564196199E-1;-2.703332663E0;-9.388242960E-1;2.865984236E0
2.837432708E0;-1.348797083E-1;-2.579568148E0;-6.099696755E-1;2.654134015E0
2.847419708E0;-8.169688284E-2;-2.552112341E0;-3.785438538E-1;2.581326642E0
2.857406708E0;-4.089938849E-2;-2.628881931E0;-3.275318146E-1;2.649522610E0
2.867394708E0;-7.310325652E-2;-2.737310886E0;-4.592638910E-1;2.776533504E0
2.877381708E0;-1.598171145E-1;-2.853051662E0;-7.338685989E-1;2.950255653E0
2.887368708E0;-2.283678055E-1;-2.999892235E0;-1.081137657E0;3.196930388E0
2.897355708E0;-2.271075994E-1;-3.144135714E0;-1.398145676E0;3.448474819E0
2.907342708E0;-1.433711499E-1;-3.210291386E0;-1.648834109E0;3.611811178E0
2.917329708E0;-9.184844792E-3;-3.185183764E0;-1.845095754E0;3.681013218E0
2.927316708E0;1.306506395E-1;-3.100911140E0;-1.943960071E0;3.662198827E0
2.937303708E0;2.327881902E-1;-2.992371798E0;-1.945453644E0;3.576767982E0
2.947290708E0;2.975773513E-1;-2.857202053E0;-1.891572595E0;3.439506176E0
2.957277708E0;3.305869699E-1;-2.708870173E0;-1.808252692E0;3.273689532E0
2.967264708E0;3.133185804E-1;-2.586711884E0;-1.766508102E0;3.147983128E0
2.977252708E0;2.571642399E-1;-2.568960190E0;-1.782806635E0;3.137529187E0
2.987239708E0;1.577423662E-1;-2.698199749E0;-1.844721198E0;3.272332630E0
2.997226708E0;1.383925416E-2;-3.017890215E0;-1.956050992E0;3.596385457E0
3.007213708E0;-1.363384277E-1;-3.440746307E0;-2.077861309E0;4.021794492E0
3.017200708E0;-2.832192183E-1;-3.818726301E0;-2.150072336E0;4.391548103E0
3.027187708E0;-3.788917661E-1;-4.040828228E0;-2.185359955E0;4.609517314E0
3.037174708E0;-3.876226842E-1;-4.086717606E0;-2.152692318E0;4.635255802E0
3.047161708E0;-3.075959086E-1;-3.937818289E0;-2.033579826E0;4.442575270E0
3.057148708E0;-1.906474680E-1;-3.643046618E0;-1.869275808E0;4.099064181E0
3.067135708E0;-9.124748409E-2;-3.361318350E0;-1.715649843E0;3.774949210E0
3.077122708E0;-2.526314184E-2;-3.149319887E0;-1.608283162E0;3.536301558E0
3.087109708E0;-9.207238443E-3;-3.134003162E0;-1.580871344E0;3.510158800E0
3.097097708E0;-4.174201190E-2;-3.300446987E0;-1.630306482E0;3.681384514E0
3.107084708E0;-9.395407140E-2;-3.449961662E0;-1.722299218E0;3.857120355E0
3.117071708E0;-1.226869226E-1;-3.458567858E0;-1.799146414E0;3.900470680E0
3.127058708E0;-9.763322026E-2;-3.336405039E0;-1.836253524E0;3.809587620E0
3.137045708E0;-2.496434003E-2;-3.153727293E0;-1.848980546E0;3.655864893E0
3.147032708E0;9.172707796E-2;-3.006267071E0;-1.837972641E0;3.524797723E0
