"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.275857500E0;-4.799020386E-1;2.872526550E-1;9.766141205E0;9.782143635E0
1.285822500E0;-6.502478027E-1;2.725831604E-1;1.005683670E1;1.008152212E1
1.295788500E0;-8.379574585E-1;3.002755737E-1;1.033495834E1;1.037322043E1
1.305753500E0;-1.011147308E0;3.879931641E-1;1.052132080E1;1.057691585E1
1.315719500E0;-1.095721436E0;5.953120422E-1;1.058419006E1;1.065739561E1
1.325684500E0;-1.187181244E0;7.197033691E-1;1.058673477E1;1.067737446E1
1.335650500E0;-1.154399414E0;6.611750793E-1;1.058269318E1;1.066598262E1
1.345615500E0;-1.094673615E0;5.644761658E-1;1.064825684E1;1.071924985E1
1.355581500E0;-9.933343506E-1;5.869294739E-1;1.079749649E1;1.085896541E1
1.365546500E0;-8.529263306E-1;7.206015015E-1;1.089928482E1;1.095632965E1
1.375512500E0;-8.149053955E-1;7.876620483E-1;1.101020416E1;1.106838191E1
1.385477500E0;-8.390052795E-1;7.810757446E-1;1.126377686E1;1.132195558E1
1.395442500E0;-7.789801025E-1;7.246430969E-1;1.140762772E1;1.145713261E1
1.405408500E0;-6.765930176E-1;6.484515381E-1;1.153830597E1;1.157630218E1
1.415373500E0;-6.083349609E-1;6.054908752E-1;1.161000687E1;1.164169017E1
1.425339500E0;-6.355783081E-1;6.707551575E-1;1.163874710E1;1.167537179E1
1.435304500E0;-6.845265198E-1;7.590715027E-1;1.150612289E1;1.155143412E1
1.445270500E0;-6.354286194E-1;8.181985474E-1;1.117620895E1;1.122411979E1
1.455235500E0;-5.713618469E-1;7.078779602E-1;1.068747528E1;1.072612108E1
1.465201500E0;-5.249583435E-1;5.950126648E-1;1.019365219E1;1.022448856E1
1.475166500E0;-5.203179932E-1;6.688092041E-1;9.840686188E0;9.877101863E0
1.485132500E0;-4.357438660E-1;7.521858215E-1;9.770931244E0;9.809523617E0
1.495097500E0;-3.763174438E-1;6.930587769E-1;9.779164124E0;9.810912100E0
1.505063500E0;-3.502716064E-1;5.974076843E-1;9.745184784E0;9.769760110E0
1.515028500E0;-3.213816833E-1;5.135820007E-1;9.756411438E0;9.775204182E0
1.524994500E0;-3.695814514E-1;4.179309082E-1;9.781409454E0;9.797307161E0
1.534959500E0;-3.950285339E-1;3.293151855E-1;9.829758911E0;9.843203558E0
1.544924500E0;-3.183879089E-1;2.389031982E-1;9.949958954E0;9.957917894E0
1.554890500E0;-2.694396973E-1;1.541793823E-1;9.991123352E0;9.995944921E0
1.564855500E0;-3.197351074E-1;7.499404907E-2;9.967472534E0;9.972881397E0
1.574821500E0;-3.492237854E-1;2.993774414E-3;9.836943970E0;9.843141413E0
1.584786500E0;-3.459306335E-1;-8.532257080E-2;9.555978241E0;9.562618265E0
1.594752500E0;-3.254232788E-1;-1.886077881E-1;9.289382629E0;9.296994291E0
1.604717500E0;-2.891986084E-1;-2.019300842E-1;8.996741180E0;9.003652784E0
1.614683500E0;-2.525248718E-1;-1.749861145E-1;8.693322144E0;8.698749269E0
1.624648500E0;-2.860551453E-1;-1.184037781E-1;8.398285675E0;8.403990081E0
1.634614500E0;-2.562670898E-1;-6.137237549E-3;8.185727692E0;8.189740431E0
1.644579500E0;-2.077679443E-1;8.607101440E-2;8.127947845E0;8.131058475E0
1.654545500E0;-7.589218140E-2;1.368154907E-1;8.270601196E0;8.272080890E0
1.664510500E0;1.077758789E-1;3.821553040E-1;8.353828125E0;8.363259093E0
1.674475500E0;1.760339355E-1;5.864804077E-1;8.332272949E0;8.354742349E0
1.684441500E0;1.413061523E-1;6.542893982E-1;8.119265900E0;8.146811695E0
1.694406500E0;1.832189941E-1;8.405021667E-1;7.729925537E0;7.777645010E0
1.704372500E0;3.712280273E-2;1.197210388E0;7.058571625E0;7.159477928E0
1.714337500E0;-3.891906738E-3;1.753603363E0;5.559738464E0;5.829736846E0
1.724303500E0;1.856140137E-1;1.804796906E0;2.759661255E0;3.302646617E0
1.734268500E0;2.574645996E-1;6.101312256E-1;5.477110291E-1;8.593808840E-1
1.744234500E0;-5.598358154E-2;-3.158432007E-2;7.888595581E-2;1.017581677E-1
1.754199500E0;-4.266128540E-2;1.796264648E-2;8.232879639E-2;9.444931262E-2
1.764165500E0;-3.996688843E-2;1.152603149E-2;9.131011963E-2;1.003381260E-1
1.774130500E0;-4.685256958E-2;9.729766846E-3;9.804611206E-2;1.091002829E-1
1.784096500E0;-5.703140259E-2;1.960922241E-2;1.143621826E-1;1.292896411E-1
1.794061500E0;-5.149291992E-2;1.916015625E-2;1.336720276E-1;1.445228126E-1
1.804026500E0;-3.772155762E-2;1.137634277E-2;1.315763855E-1;1.373487616E-1
1.813992500E0;-5.149291992E-2;2.499801636E-2;1.619631958E-1;1.717803784E-1
1.823957500E0;-3.293151855E-2;1.960922241E-2;1.652563477E-1;1.696427628E-1
1.833923500E0;-4.176315308E-2;2.305206299E-2;1.811233521E-1;1.872998324E-1
1.843888500E0;-5.388793945E-2;1.212478638E-2;1.920506287E-1;1.998358437E-1
1.853854500E0;-3.817062378E-2;4.041595459E-3;2.071691895E-1;2.106950499E-1
1.863819500E0;-4.011657715E-2;1.811233521E-2;2.128573608E-1;2.173606508E-1
1.873785500E0;-3.727249146E-2;1.661544800E-2;2.338137817E-1;2.373482594E-1
1.883750500E0;-2.529739380E-2;1.916015625E-2;2.646496582E-1;2.665455145E-1
1.893716500E0;-2.963836670E-2;3.098556519E-2;2.808160400E-1;2.840707418E-1
1.903681500E0;-3.847000122E-2;3.098556519E-2;3.159928894E-1;3.198305057E-1
1.913647500E0;-4.909790039E-2;4.116439819E-2;3.165916443E-1;3.230098771E-1
1.923611917E0;-5.119354248E-2;2.499801636E-2;3.311114502E-1;3.359768922E-1
1.933576917E0;-5.164260864E-2;3.008743286E-2;3.523672485E-1;3.574001825E-1
1.943542917E0;-5.358856201E-2;2.080673218E-2;3.817062378E-1;3.860107590E-1
1.953507917E0;-5.568420410E-2;1.227447510E-2;3.980223083E-1;4.020859998E-1
1.963473917E0;-3.263214111E-2;2.140548706E-2;4.073030090E-1;4.091684160E-1
1.973438917E0;-5.703140259E-2;1.930984497E-2;4.177812195E-1;4.220978540E-1
1.983404917E0;-4.580474854E-2;2.380050659E-2;4.373904419E-1;4.404258596E-1
1.993369917E0;-4.655319214E-2;8.831634521E-3;4.602928162E-1;4.627252685E-1
2.003335917E0;-5.388793945E-2;3.293151855E-2;4.840933228E-1;4.881953913E-1
2.013300917E0;-5.643264771E-2;3.158432007E-2;4.942721558E-1;4.984848814E-1
2.023266917E0;-6.182144165E-2;3.323089600E-2;5.297483826E-1;5.343777053E-1
2.033231917E0;-5.927673340E-2;3.936813354E-2;5.595364380E-1;5.640430892E-1
2.043197917E0;-3.652404785E-2;2.514770508E-2;5.909710693E-1;5.926324476E-1
2.053162917E0;-5.119354248E-2;3.053649902E-2;5.954617310E-1;5.984379079E-1
2.063127917E0;-5.852828979E-2;3.547622681E-2;5.924679565E-1;5.964079165E-1
2.073093917E0;-4.999603271E-2;2.335144043E-2;6.186634827E-1;6.211194715E-1
2.083058917E0;-4.954696655E-2;4.670288086E-2;6.524931335E-1;6.560360892E-1
2.093024917E0;-5.284011841E-2;3.787124634E-2;6.695576477E-1;6.727062903E-1
2.102989917E0;-5.149291992E-2;2.335144043E-2;7.021897888E-1;7.044624263E-1
2.112955917E0;-6.062393188E-2;2.754272461E-2;7.357200623E-1;7.387271978E-1
2.122920917E0;-4.355941772E-2;1.107696533E-2;7.732919312E-1;7.745970132E-1
2.132886917E0;-4.251159668E-2;2.903961182E-2;7.813751221E-1;7.830693560E-1
2.142851917E0;-4.939727783E-2;3.098556519E-2;8.027806091E-1;8.048955850E-1
2.152817917E0;-5.269042969E-2;2.933898926E-2;8.274792480E-1;8.296740105E-1
2.162782917E0;-5.209167480E-2;9.131011963E-3;8.550219727E-1;8.566559938E-1
2.172748917E0;-3.817062378E-2;2.215393066E-2;8.759783936E-1;8.770894704E-1
2.182713917E0;-4.520599365E-2;3.113525391E-2;9.116043091E-1;9.132553872E-1
2.192678917E0;-6.122268677E-2;2.005828857E-2;9.428892517E-1;9.450876643E-1
2.202644917E0;-5.358856201E-2;3.338058472E-2;9.592053223E-1;9.612808370E-1
2.212609917E0;-6.301895142E-2;2.065704346E-2;9.752220154E-1;9.774743378E-1
2.222575917E0;-5.598358154E-2;2.604583740E-2;1.023721161E0;1.025581573E0
2.232540917E0;-4.221221924E-2;5.688171387E-3;1.065184937E0;1.066036198E0
2.242506917E0;-4.685256958E-2;8.382568359E-3;1.095122681E0;1.096156520E0
2.252471917E0;-5.119354248E-2;1.811233521E-2;1.121617584E0;1.122931361E0
2.262437917E0;-5.598358154E-2;9.131011963E-3;1.136436768E0;1.137851512E0
2.272402917E0;-5.987548828E-2;1.856140137E-2;1.150357819E0;1.152064543E0
2.282368917E0;-5.792953491E-2;5.987548828E-3;1.175505524E0;1.176947288E0
2.292333917E0;-6.451583862E-2;1.437011719E-2;1.179247742E0;1.181098654E0
2.302299917E0;-4.311035156E-2;7.035369873E-3;1.200802917E0;1.201597123E0
2.312264917E0;-4.520599365E-2;4.340972900E-3;1.203647003E0;1.204503439E0
2.322229917E0;-4.790039063E-2;4.041595459E-3;1.234482880E0;1.235418456E0
2.332195917E0;-5.448669434E-2;-3.293151855E-3;1.277144165E0;1.278310159E0
2.342160917E0;-5.673202515E-2;-2.110610962E-2;1.279988251E0;1.281418711E0
2.352126917E0;-6.017486572E-2;3.293151855E-3;1.299747162E0;1.301143552E0
2.362091917E0;-6.212081909E-2;-1.945953369E-3;1.325044556E0;1.326501360E0
2.372057917E0;-3.891906738E-2;5.987548828E-3;1.338516541E0;1.339095618E0
2.382022917E0;-4.131408691E-2;7.783813477E-3;1.375040588E0;1.375683125E0
2.391988917E0;-5.478607178E-2;-8.232879639E-3;1.418899384E0;1.419980547E0
2.401953917E0;-5.583389282E-2;-1.437011719E-2;1.432670746E0;1.433830321E0
2.411919917E0;-6.152206421E-2;-6.586303711E-3;1.464404755E0;1.465711305E0
2.421884917E0;-5.658233643E-2;-9.879455566E-3;1.515747986E0;1.516835891E0
2.431850917E0;-5.508544922E-2;4.490661621E-3;1.542392578E0;1.543382466E0
2.441815917E0;-4.805007935E-2;-7.484436035E-4;1.550026703E0;1.550771469E0
2.451780917E0;-3.876937866E-2;5.239105225E-3;1.556313629E0;1.556805262E0
2.461746917E0;-6.316864014E-2;5.388793945E-3;1.573228455E0;1.574505347E0
2.471711917E0;-6.376739502E-2;8.981323242E-3;1.549427948E0;1.550765589E0
2.481677917E0;-6.421646118E-2;1.362167358E-2;1.566342773E0;1.567717764E0
2.491642917E0;-4.700225830E-2;-1.676513672E-2;1.684896240E0;1.685635080E0
2.501608917E0;6.422095184E0;-8.961414642E0;-1.064720901E1;1.532688223E1
2.511573917E0;5.774466934E1;-2.867990982E1;1.721734634E2;1.838496276E2
2.521539917E0;-3.046584595E1;1.184801193E1;1.372383614E2;1.410776771E2
2.531504917E0;4.317621460E0;1.112022537E1;-6.572277878E1;6.679659361E1
2.541470917E0;2.086466171E1;2.228685425E1;2.475552063E1;3.930488242E1
2.551435917E0;-1.033046768E1;1.964320175E1;3.542787735E1;4.180560287E1
2.561400917E0;-6.748715973E0;2.989328659E1;1.009904892E1;3.226677145E1
2.571366917E0;4.354744263E0;1.902603516E1;2.448054245E1;3.130895671E1
2.581331917E0;1.789079590E0;-8.114625549E0;2.894156570E1;3.011083159E1
2.591297917E0;-4.409230957E0;-8.895102539E0;2.742821274E1;2.916969353E1
2.601262917E0;-1.426084442E0;-5.013224945E0;2.564377350E1;2.616809623E1
2.611228917E0;5.977070618E-1;-6.540049896E0;3.025732956E1;3.096183939E1
2.621193917E0;4.528083801E-1;-7.200177155E0;2.815315521E1;2.906282393E1
2.631159917E0;-6.361770630E-2;-4.282594299E0;2.701941284E1;2.735677853E1
2.641124917E0;1.522633667E0;-6.668632507E-1;2.729813324E1;2.734869646E1
2.651090917E0;1.691033478E0;8.860075378E-1;2.620720184E1;2.627664423E1
2.661055917E0;1.067729645E0;3.141517181E0;2.496852768E1;2.518802397E1
2.671021917E0;-2.088157654E-1;4.699028320E0;2.368734192E1;2.414983723E1
2.680986917E0;-4.314178619E0;3.223546600E0;2.056468552E1;2.125816738E1
2.690951917E0;-2.949765930E0;4.313879242E0;1.939876007E1;2.009036001E1
2.700917917E0;-2.148033142E0;6.898404694E0;1.854972565E1;1.990714332E1
2.710882917E0;-1.000968475E0;6.174959106E0;1.808434341E1;1.913571359E1
2.720848917E0;-4.058061218E-1;5.397475891E0;1.753753052E1;1.835381163E1
2.730813917E0;2.064207458E-1;3.738176422E0;1.543410461E1;1.588169253E1
2.740779917E0;4.334985352E-1;2.633174286E0;1.393197830E1;1.418525809E1
2.750744917E0;5.050497437E-1;2.185006256E0;1.348964813E1;1.367479193E1
2.760710917E0;4.296066284E-1;7.625143433E-1;1.224169327E1;1.227293950E1
2.770675917E0;3.484753418E-1;-4.914280701E-1;1.144280457E1;1.145865232E1
2.780641917E0;9.629475403E-1;-8.422984314E-1;1.408780426E1;1.414577546E1
2.790606917E0;1.278341675E0;-6.774911499E-1;1.626068573E1;1.632492120E1
2.800572917E0;3.728746033E-1;-7.027885437E-1;1.775727356E1;1.777508682E1
2.810537917E0;-1.498683472E0;-6.357279968E-1;1.796114960E1;1.803477466E1
2.820502917E0;-2.417772217E0;-1.282982025E0;1.717199066E1;1.738875869E1
2.830468917E0;-2.294279022E0;-1.558558960E0;1.608779526E1;1.632513334E1
2.840433917E0;-2.723885651E0;-1.319057007E0;1.516735931E1;1.546635875E1
2.850399917E0;-1.858385468E0;-1.821711731E0;1.499057693E1;1.521478317E1
2.860364917E0;-6.876699829E-1;-2.417023773E0;1.587793167E1;1.607555934E1
2.870330917E0;1.425036621E-1;-3.100352783E0;1.766671188E1;1.793725741E1
2.880295917E0;1.034947815E0;-3.823049927E0;1.800500839E1;1.843548629E1
2.890261917E0;9.520202637E-1;-4.289779358E0;1.544877411E1;1.606154323E1
2.900226917E0;8.277786255E-2;-4.795727234E0;1.223810074E1;1.314446505E1
2.910192917E0;9.071136475E-2;-4.010609894E0;1.189920547E1;1.255724139E1
2.920158667E0;2.245330811E-3;-3.294349365E0;1.184052750E1;1.229027397E1
2.930124667E0;-2.230361938E-1;-2.612367554E0;1.189770859E1;1.218317196E1
2.940089667E0;-7.589218140E-1;-1.995350647E0;1.170490952E1;1.189799535E1
2.950054667E0;-8.807684326E-1;-2.003433838E0;1.131856293E1;1.152819877E1
2.960020667E0;-1.214274902E0;-2.240091705E0;1.122725281E1;1.151276161E1
2.969985667E0;-1.060843964E0;-2.284399567E0;1.085123474E1;1.113971125E1
2.979951667E0;-8.949888611E-1;-2.017654266E0;1.122530685E1;1.144025558E1
2.989916667E0;-2.007325745E-1;-1.688937836E0;1.099164276E1;1.112245545E1
2.999882667E0;-3.622467041E-1;-1.530267792E0;9.674082642E0;9.801062042E0
3.009847667E0;-7.384144592E-1;-1.331630859E0;9.984836426E0;1.010027005E1
3.019813667E0;2.986289978E-1;-4.017645264E-1;1.038136185E1;1.039342426E1
3.029778667E0;4.275109863E-1;-2.086660767E-1;9.889933777E0;9.901368455E0
3.039744667E0;4.385879517E-2;-6.306385803E-1;9.394613800E0;9.415858807E0
3.049709667E0;4.571493530E-1;-9.741741943E-1;9.708810425E0;9.768264982E0
3.059675667E0;1.224753113E0;-1.032403107E0;1.108265350E1;1.119781608E1
3.069640667E0;1.299447784E0;-7.390132141E-1;1.214125214E1;1.223293540E1
3.079605667E0;1.117276611E0;-6.459068298E-1;1.144879211E1;1.152129956E1
3.089571667E0;9.636959839E-1;-6.526428223E-1;9.232650604E0;9.305723496E0
3.099536667E0;1.024020538E0;-2.293231201E-1;8.890611877E0;8.952328564E0
3.109502667E0;9.172924805E-1;-1.609153748E-1;9.586065674E0;9.631197971E0
3.119467667E0;9.223818970E-1;-3.287164307E-1;9.773625641E0;9.822555728E0
